ID|Monster Name|Type 1|Type 2|Type 3|Pri Element|Sec Element|Rareness|Cost|Mpoints|Artist|
817|Grendel |Physical |||Fire ||3 Stars |10|1||
818|Bronzed Grendel |Physical |||Fire ||4 Stars |15|1||
819|Hrungnir |Physical |||Water |Wood |5 Stars |40|15||
820|Absolute Zero Hrungnir |Physical |||Water |Wood |6 Stars |50|15||
821|Anne Punt Quettebuss in Love |Balanced |||Light |Light |6 Stars |30|1||
822|Burning Phoenix Knight, Homura |Balanced |||Fire |Fire |6 Stars |24|1|Itou Youichi |PKH, BPK 
823|Torrential Fenrir Knight, Kamui |Balanced |||Water |Water |6 Stars |24|1|Itou Youichi |FKK, TFK 
824|Ancient Dragon Knight, Zeal |Dragon |Balanced ||Wood |Wood |6 Stars |24|1|Yosuke Adachi |ADK 
825|Godly Knight of the Sky, Verche |God |Balanced ||Light |Light |6 Stars |24|1|Yosuke Adachi|
826|Chaos Dragon Knight, Voice |Dragon |Balanced ||Dark |Dark |6 Stars |24|1|Yosuke Adachi |CDK 
827|Shugen Demon, Shouki |Physical |||Light ||3 Stars |7|1||
828|Protection Demon of Light, Shouki |Physical |||Light ||4 Stars |11|1||
829|Shugen Demon, Jyaki |Physical |||Dark ||3 Stars |7|1||
830|Protection Demon of Dark, Jyaki |Physical |||Dark ||4 Stars |11|1||
831|Top Droidragon |Physical |Dragon ||Wood |Water |6 Stars |25|1||
832|Kozukura |Physical |||Water ||2 Stars |5|1||
833|Fukuragi |Physical |||Water ||3 Stars |10|1||
834|Amberjack |Physical |||Water ||4 Stars |12|1||
835|King of Toyama Bay, Amberjack |Physical |||Water |Water |5 Stars |20|1||
836|Firefly Squid |Attacker |||Light ||3 Stars |8|1||
837|Mystery of Toyama Bay, Firefly Squid |Attacker |||Light ||4 Stars |12|1||
838|Velvet Shrimp |Balanced |||Fire ||3 Stars |8|1||
839|Jewel of Toyama Bay, Velvet Shrimp |Balanced |||Fire ||4 Stars |12|1||
840|Amitan |God |||Wood ||5 Stars |15|10||
841|Amitaka & Kanon & Cecil |God |||Wood |Light |6 Stars |25|10||
842|DD-Drake |Dragon |||Fire ||5 Stars |20|10||
843|DD-Dragon |Dragon |Attacker ||Fire |Fire |6 Stars |30|10||
844|DD-Saurian |Attacker |||Water ||3 Stars |6|1||
845|DD-Dragonewt |Attacker |||Water ||4 Stars |12|1||
846|DD-Behemoth |Physical |||Wood ||3 Stars |6|1||
847|DD-King Behemoth |Physical |||Wood ||4 Stars |12|1||
848|DD-Skeleton |Balanced |||Dark ||3 Stars |6|1||
849|DD-Skeleton Lord |Balanced |||Dark ||4 Stars |12|1||
850|DD-Guardian |Physical |||Light ||4 Stars |12|1||
851|DD-Arch Guardian |Physical |||Light |Water |5 Stars |20|1||
852|DD-Magick Archer |Balanced |||Fire ||3 Stars |8|1||
853|DD-Poison Enchanter |Balanced |||Fire |Dark |4 Stars |12|1||
854|Jaggi Cat |Attacker |||Dark ||4 Stars |10|3000||
855|Great Jaggi & Jaggi Cat |Attacker |Dragon ||Dark |Dark |5 Stars |20|3000||
856|Wroggi Cat |Balanced |||Fire ||4 Stars |10|3000||
857|Great Wroggi & Wroggi Cat |Balanced |Dragon ||Fire |Fire |5 Stars |20|3000||
858|Baggi Cat |Physical |||Water ||4 Stars |10|3000||
859|Great Baggi & Baggi Cat |Physical |Dragon ||Water |Water |5 Stars |20|3000||
860|Gargwa Cat |Healer |||Light ||4 Stars |10|3000||
861|Gargwa & Gargwa Cat |Healer |Dragon ||Light |Light |5 Stars |20|3000||
862|Bullfango Cat |Balanced |||Wood ||4 Stars |10|3000||
863|Bulldrome & Bullfango Cat |Balanced |Dragon ||Wood |Wood |5 Stars |20|3000||
864|Rhenoplos Cat |Physical |||Light ||4 Stars |10|3000||
865|Rhenoplos & Rhenoplos Cat |Physical |Dragon ||Light |Light |5 Stars |20|3000||
866|Rathalos Cat |Balanced |||Fire ||5 Stars |15|5000||
867|Rathalos & Rathalos Cat |Balanced |Dragon ||Fire |Dark |6 Stars |25|5000||
868|Rathian Cat |Healer |||Wood ||5 Stars |15|5000||
869|Rathian & Rathian Cat |Healer |Dragon ||Wood |Light |6 Stars |25|5000||
870|Tyrra Felyne |Balanced |||Fire ||2 Stars |7|1||
871|Firedragon Tyrannos & Felyne |Balanced |Dragon ||Fire ||3 Stars |12|1||
872|Plessie Felyne |Balanced |||Water ||2 Stars |7|1||
873|Icedragon Plesios & Felyne |Balanced |Dragon ||Water ||3 Stars |12|1||
874|Brachy Felyne |Balanced |||Wood ||2 Stars |7|1||
875|Flowerdragon Brachys & Felyne |Balanced |Dragon ||Wood ||3 Stars |12|1||
876|King Metal Cat |Balanced |||Dark ||4 Stars |15|1||
877|King Metal Dragon & King Metal Cat |Balanced |Dragon ||Dark ||5 Stars |20|1||
878|King Gold Cat |Balanced |||Light ||4 Stars |15|1||
879|King Gold Dragon & King Gold Cat |Balanced |Dragon ||Light ||5 Stars |20|1||
880|Awoken Odin Cat |God |Balanced ||Wood |Light |5 Stars |25|5000||
881|Awoken Odin & Odin Cat |God |Balanced ||Wood |Light |6 Stars |45|5000||
882|Rumbling Blazing King Apollo |Balanced |||Fire |Water |6 Stars |25|1||
883|Light Dragon Emperor Saiga |Dragon |God ||Light |Light |7 Stars |55|1||
884|Stray Soul Beast Izuna |Healer |||Dark ||4 Stars |10|1||
885|Nine-Tailed Izuna |Healer |||Dark ||5 Stars |20|1||
886|Emperor Masterion |Devil |||Dark ||5 Stars |40|10||
887|Demon King Masterion |Devil |||Dark ||6 Stars |50|10||
888|Feline Deity of Harmony, Bastet |God |Healer ||Wood |Light |7 Stars |35|5000|Yosuke Adachi|Catte 
889|War Deity of Fury, Ares |God |Attacker ||Fire |Dark |7 Stars |35|5000|Shinnosuke Hino |
890|Commerce Deity of Dreams, Hermes |God |Physical ||Water |Light |7 Stars |35|5000|Murase Rintaro |
891|Hunt God of the Holy Bow, Artemis |God |Balanced ||Wood |Light |7 Stars |35|5000|Yosuke Adachi |
892|Solar God of Heaven's Bow, Apollo |God |Physical ||Light |Fire |7 Stars |35|5000|Murase Rintaro |
893|Queen of Condemnation, Persephone |God |Devil ||Dark |Fire |7 Stars |35|5000|Itou Youichi |
894|Dark Liege, Vampire Duke |Balanced |Devil ||Dark |Water |6 Stars |35|1|Shinnosuke Hino |
895|Arcane Monarch, Vampire Duke |Physical |Devil ||Water |Dark |6 Stars |35|1|Shinnosuke Hino|
896|Red Chaser |Physical |Machine ||Fire ||3 Stars |6|1||
897|Flame Chaser |Physical |Machine ||Fire ||4 Stars |12|1||
898|Blue Chaser |Physical |Machine ||Water ||3 Stars |6|1||
899|Aqua Chaser |Physical |Machine ||Water ||4 Stars |12|1||
900|Green Chaser |Physical |Machine ||Wood ||3 Stars |6|1||
901|Wind Chaser |Physical |Machine ||Wood ||4 Stars |12|1||
902|Yellow Chaser |Physical |Machine ||Light ||3 Stars |6|1||
903|Lightning Chaser |Physical |Machine ||Light ||4 Stars |12|1||
904|Purple Chaser |Physical |Machine ||Dark ||3 Stars |6|1||
905|Phantom Chaser |Physical |Machine ||Dark ||4 Stars |12|1||
906|Flame Baron |Balanced |||Fire ||4 Stars |11|1|Itou Youichi |
907|Aqua Baron |Balanced |||Water ||4 Stars |11|1|Itou Youichi |
908|Earth Baron |Balanced |||Wood ||4 Stars |11|1|Itou Youichi |
909|White Baron |Balanced |||Light ||4 Stars |11|1|Itou Youichi |
910|Black Baron |Balanced |||Dark ||4 Stars |11|1|Itou Youichi |
911|Red Dragon Caller, Sonia |Dragon |Devil ||Fire |Dark |5 Stars |30|15000|Yosuke Adachi |Rsonia, Ronia, Red Sonia 
912|Extant Red Dragon Caller, Sonia |Dragon |Devil ||Fire |Dark |6 Stars |50|15000|Yosuke Adachi |Rsonia, Ronia, Red Sonia 
913|Jade Dragon Caller, Sonia |Dragon |Balanced ||Wood |Dark |6 Stars |40|50000|Yosuke Adachi |Gronia, Gonia, Green Sonia 
914|Eternal Jade Dragon Caller, Sonia |Dragon |Balanced ||Wood |Dark |7 Stars |60|50000|YosukeAdachi |Gronia, Gonia, Green Sonia 
915|Angelit |Evo Material |||Light ||7 Stars |1|1||
916|Devilit |Evo Material |||Dark ||7 Stars |1|1||
917|Awoken Zeus Olympios |God |||Light |Light |8 Stars |60|15|Itou Youichi |
918|Awoken Zeus Stratios |God |Devil ||Dark |Light |8 Stars |60|15|Itou Youichi |
919|Elemental of Harsh Flame, Shaitan |Balanced |Devil ||Fire |Fire |6 Stars |26|3000|Ikeya |
920|Elemental of Kind Waters, Undine |Balanced |||Water |Water |6 Stars |26|3000|Ikeya |
921|Elemental of Levity, Sylph |Balanced |||Wood |Wood |6 Stars |26|3000|Ikeya |
922|Elemental of Gold Glimmer, Genie |Balanced |||Light |Light |6 Stars |26|3000|Ikeya |
923|Elemental of True Death, Thanatos |Balanced |Devil ||Dark |Dark |6 Stars |26|3000|Ikeya |
924|Firefly |Attacker |||Fire ||3 Stars |5|1||
925|Firefly + Flamethrower |Attacker |||Fire ||4 Stars |10|1||
926|Solomon Grundy |Physical |||Water ||3 Stars |5|1||
927|Solomon Grundy, Born on a Monday |Physical |||Water ||4 Stars |10|1||
928|Copperhead |Balanced |||Wood ||3 Stars |5|1||
929|Venomous Copperhead |Balanced |||Wood ||4 Stars |10|1||
930|Bane |Physical |||Light ||3 Stars |8|1||
931|Venom-Enhanced Bane |Physical |||Light ||4 Stars |12|1||
932|Deathstroke |Attacker |||Light |Dark |5 Stars |15|1||
933|Deathstroke + B. Staff |Attacker |||Light |Dark |6 Stars |25|1||
934|Exiled Apollo |Balanced |||Fire ||4 Stars |15|1||
935|Blazing Apollo |Balanced |||Fire ||5 Stars |20|1||
936|UNPRINTABLE |Attacker |||Fire ||3 Stars |5|1||
937|UNPRINTABLE |Attacker |||Fire |Wood |4 Stars |10|1||
938|UNPRINTABLE |Physical |||Water ||3 Stars |5|1||
939|UNPRINTABLE |Physical |||Water |Fire |4 Stars |10|1||
940|UNPRINTABLE |Balanced |||Wood ||3 Stars |5|1||
941|UNPRINTABLE |Balanced |||Wood |Water |4 Stars |10|1||
942|UNPRINTABLE |Healer |||Light ||3 Stars |5|1||
943|UNPRINTABLE |Healer |||Light |Dark |4 Stars |10|1||
944|UNPRINTABLE |Devil |||Dark ||3 Stars |5|1||
945|UNPRINTABLE |Devil |||Dark |Light |4 Stars |10|1||
946|UNPRINTABLE |God |||Wood ||4 Stars |15|10||
947|UNPRINTABLE |God |||Wood ||5 Stars |20|10||
948|AB Red |Attacker |||Fire ||3 Stars |5|1||
949|AB Red Bird Red |Attacker |||Fire ||4 Stars |10|1||
950|AB The Blues |Balanced |||Water ||3 Stars |5|1||
951|AB Bluebird Blues |Balanced |||Water ||4 Stars |10|1||
952|AB Hal |Balanced |||Wood ||3 Stars |5|1||
953|AB Green Bird Hal |Balanced |||Wood ||4 Stars |10|1||
954|AB Chuck |Physical |||Light ||3 Stars |5|1||
955|AB Yellow Bird Chuck |Physical |||Light ||4 Stars |10|1||
956|AB Matilda |Healer |||Light ||4 Stars |20|1||
957|AB White Bird Matilda |Healer |||Light ||5 Stars |30|1||
958|AB Bomb |Attacker |||Dark ||3 Stars |5|1||
959|AB Black Bird Bomb |Attacker |||Dark ||4 Stars |10|1||
960|AB Wingman |Physical |||Fire |Water |4 Stars |15|10||
961|AB Dashing Wingman |Physical |||Fire |Water |5 Stars |25|10||
962|Melagon |Dragon |||Fire ||3 Stars |3|1||
963|Melaburn |Dragon |||Fire ||4 Stars |6|1||
964|Hellfire Dragon, Inferno |Dragon |||Fire ||5 Stars |10|1||
965|Zabgon |Dragon |||Water ||3 Stars |3|1||
966|Zabshark |Dragon |||Water ||4 Stars |6|1||
967|Stormy Sea Dragon, Levia |Dragon |||Water ||5 Stars |10|1||
968|Morigon |Dragon |||Wood ||3 Stars |3|1||
969|Morigannon |Dragon |||Wood ||4 Stars |6|1||
970|Boulder Dragon, Garmut |Dragon |||Wood ||5 Stars |10|1||
971|Dark Wood Skydragon, Horai |Dragon |God ||Wood ||6 Stars |50|10||
972|Lovely Maiden, Princess Valkyrie |Healer |||Water ||6 Stars |30|15000|Shinnosuke Hino |
973|Azure Maiden, Graceful Valkyrie |Healer |||Water |Light |7 Stars |35|15000|Shinnosuke Hino |
974|Red Pirate Dragon, Bartholomew |Dragon |||Fire |Water |6 Stars |25|10||
975|Blue Pirate Dragon, Awilda |Dragon |||Water |Water |6 Stars |25|10|Chaichi |
976|Green Pirate Dragon, Captain Kidd |Dragon |||Wood |Water |6 Stars |25|10|Ikeya |
977|Gold Pirate Dragon, Anne & Mary |Dragon |||Light |Water |6 Stars |25|10|Shinnosuke Hino |
978|Black Pirate Dragon, Blackbeard |Dragon |||Dark |Water |6 Stars |25|10|Ikeya |
979|Red Pirate |Balanced |||Fire ||2 Stars |5|1||
980|Blue Pirate |Balanced |||Water ||2 Stars |5|1||
981|Green Pirate |Balanced |||Wood ||2 Stars |5|1||
982|Blazing Maiden, Princess Valkyrie |Healer |||Dark ||6 Stars |30|15000|Shinnosuke Hino |
983|Black Blaze, Graceful Valkyrie |Healer |||Dark |Fire |7 Stars |35|15000|Shinnosuke Hino |
984|Gigas the Great |Physical |||Fire |Light |6 Stars |35|1|Shinnosuke Hino |
985|Divine Queen Hera |Devil |God ||Dark |Dark |8 Stars |50|15|Itou Youichi |DQ Hera 
986|Serpent God Demon, Viper Orochi |God |Physical ||Water |Water |7 Stars |30|5000|Itou Youichi |
987|Warded Storm God, Susano no Mikoto |God |Balanced ||Wood |Wood |7 Stars |30|5000|Itou Youichi |
988|Dancing Light, Amaterasu Ohkami |God |Healer ||Light |Light |7 Stars |30|5000|Yosuke Adachi |
989|War Deity of the Night, Tsukuyomi |God |Attacker ||Dark |Light |7 Stars |30|5000|Yosuke Adachi |
990|Nocturne Chanter, Tsukuyomi |God |Balanced ||Dark |Dark |7 Stars |30|5000|Yosuke Adachi |
991|UNPRINTABLE |Attacker |Devil ||Dark |Water |4 Stars |12|1||
992|UNPRINTABLE |Balanced |||Light |Light |6 Stars |25|3000||
993|UNPRINTABLE |Dragon |Physical ||Dark |Fire |7 Stars |60|10||
994|Inferno Deity Falcon, Horus |God |Balanced ||Fire |Fire |7 Stars |35|5000|Murase Rintaro |KFC 
995|Blazing Deity Falcon, Horus |God |Attacker ||Fire |Light |7 Stars |35|5000|Murase Rintaro |KFC 
996|Blue Moon Sea Deity, Isis |God |Healer ||Water |Water |7 Stars |35|5000|Shinnosuke Hino |
997|Shining Sea Deity, Isis |God |Physical ||Water |Light |7 Stars |35|5000|Shinnosuke Hino |
998|Dark Sun Deity, Ra |God |Physical ||Light |Dark |7 Stars |35|5000|Murase Rintaro |
999|Pure Light Sun Deity, Ra |God |Healer ||Light |Light |7 Stars |35|5000|Murase Rintaro |
1000|Abyssal Hell Deity Jackal, Anubis |God |Devil ||Dark |Dark |7 Stars |35|5000|Itou Youichi|One True God 
1001|Deathly Hell Deity Jackal, Anubis |God |Attacker ||Dark |Light |7 Stars |35|5000|Itou Youichi |One True God 
1002|Baby TAMADRA |Awoken Material |||Light ||4 Stars |1|1|Ikeya |
1003|Present Egg |Enhance Material |||Light ||4 Stars |5|1||
1004|Present Egg |Enhance Material |||Light ||4 Stars |5|1||
1005|Snow Globe Dragon Blanc |Enhance Material |||Light ||5 Stars |13|1|Noel |
1006|Snow Globe Dragon Noir |Enhance Material |||Dark ||5 Stars |13|1|Noel |
1007|Gold Pirate |Balanced |||Light ||2 Stars |5|1||
1008|Black Pirate |Balanced |||Dark ||2 Stars |5|1||
1009|Gon Freecss |Physical |||Wood ||5 Stars |15|5000||
1010|Jajanken, Gon Freecss |Physical |||Wood |Fire |6 Stars |25|5000||
1011|Killua Zoldyck |Attacker |||Dark ||5 Stars |15|5000||
1012|Thunderbolt, Killua Zoldyck |Attacker |||Dark |Light |6 Stars |25|5000||
1013|Kurapika |Balanced |||Water ||4 Stars |10|3000||
1014|Scarlet Eyes, Kurapika |Balanced |||Water |Fire |5 Stars |20|3000||
1015|Leorio |Healer |||Wood ||4 Stars |10|3000||
1016|UNPRINTABLE |Healer |||Wood |Water |5 Stars |20|3000||
1017|Bisky |Physical |||Light ||4 Stars |10|3000||
1018|UNPRINTABLE |Physical |||Light |Fire |5 Stars |20|3000||
1019|Chrollo Lucilfer |Balanced |||Dark ||4 Stars |10|3000||
1020|UNPRINTABLE |Balanced |||Dark |Light |5 Stars |20|3000||
1021|Hisoka |Devil |||Fire ||4 Stars |10|3000||
1022|Elastic Love, Hisoka |Devil |||Fire |Dark |5 Stars |20|3000||
1023|Netero |Balanced |||Light ||5 Stars |15|5000||
1024|UNPRINTABLE |Balanced |God ||Light |Water |6 Stars |25|5000||
1025|Genthru |Attacker |||Fire ||4 Stars |10|3000||
1026|Bomber, Genthru |Attacker |||Fire |Wood |5 Stars |20|3000||
1027|Jed |Devil |||Dark ||4 Stars |10|3000||
1028|UNPRINTABLE |Devil |||Dark |Fire |5 Stars |20|3000||
1029|King |God |||Light |Dark |5 Stars |15|10||
1030|Meruem |God |||Light |Dark |6 Stars |25|10||
1031|Pitou |Healer |||Dark ||4 Stars |10|1||
1032|UNPRINTABLE |Healer |||Dark |Dark |5 Stars |20|1||
1033|Pouf |Balanced |||Light ||4 Stars |10|1||
1034|UNPRINTABLE |Balanced |||Light |Wood |5 Stars |15|1||
1035|Youpi |Physical |||Fire ||4 Stars |10|1||
1036|UNPRINTABLE |Physical |||Fire |Light |5 Stars |15|1||
1037|Colt |Balanced |||Wood ||3 Stars |6|1||
1038|UNPRINTABLE |Balanced |||Wood ||4 Stars |11|1||
1039|Rammot |Attacker |||Water ||3 Stars |6|1||
1040|UNPRINTABLE |Attacker |||Water ||4 Stars |11|1||
1041|Leol |Physical |||Water ||3 Stars |6|1||
1042|UNPRINTABLE |Physical |||Water ||4 Stars |11|1||
1043|Hina |Healer |||Light ||3 Stars |6|1||
1044|UNPRINTABLE |Healer |||Light ||4 Stars |11|1||
1045|Zazan |Balanced |||Dark ||3 Stars |6|1||
1046|UNPRINTABLE |Balanced |||Dark ||4 Stars |11|1||
1047|Pike |Attacker |||Wood ||3 Stars |6|1||
1048|UNPRINTABLE |Attacker |||Wood ||4 Stars |11|1||
1049|Sacred Dragon King Saiga |Dragon |||Wood ||5 Stars |40|1||
1050|Light Dragon King Saiga |Dragon |||Wood |Light |6 Stars |50|1||
1051|Banchack |Attacker |||Light ||3 Stars |5|1||
1052|KOB Leonhart |Attacker |||Light ||4 Stars |10|1||
1053|Kobokkle |Physical |||Dark ||3 Stars |5|1||
1054|Bokkle |Physical |||Dark ||4 Stars |10|1||
1055|Kaguya |Healer |||Wood ||3 Stars |5|1||
1056|Blooming Flower Princess Kaguya |Healer |||Wood ||4 Stars |10|1||
1057|Wafer Man |Enhance Material |||Light ||4 Stars |1|1||
1058|Holy Dragon Stone |Enhance Material |||Dark ||5 Stars |1|1||
1059|Blazing Sun God Apollo |Physical |God ||Fire |Light |6 Stars |25|1||
1060|Demon God Masterion |Devil |God ||Dark |Light |7 Stars |60|10||
1061|Dragon Zombie |Dragon |Devil ||Dark ||6 Stars |20|15|Shinnosuke Hino |
1062|Corpse Wyrm, Dragon Zombie |Dragon |Devil ||Dark |Wood |7 Stars |30|15|Shinnosuke Hino |
1063|Bone Fish |Attacker |||Dark ||2 Stars |5|1||
1064|Devil Fish |Attacker |||Dark |Water |3 Stars |11|1||
1065|Yamato Takeru |God |||Fire ||5 Stars |15|5000|Ikeya |
1066|Martial God-Emperor, Yamato Takeru |God |||Fire |Fire |6 Stars |25|5000||
1067|Andromeda |God |||Water ||5 Stars |15|5000|Itou Youichi |
1068|Starsea Goddess, Andromeda |God |||Water |Water |6 Stars |25|5000|Itou Youichi |
1069|Perseus |God |||Wood ||5 Stars |15|5000|Murase Rintaro |
1070|Vanquishing Deity, Perseus |God |||Wood |Wood |6 Stars |25|5000|Murase Rintaro |
1071|Sun Wukong |God |||Light ||5 Stars |15|5000|Suzuki Kaori |
1072|Golden Monkey King, Sun Wukong |God |||Light |Light |6 Stars |25|5000|Suzuki Kaori |
1073|Pandora |God |||Dark ||5 Stars |15|5000|Suzuki Kaori |Panda 
1074|Goddess of the Bleak Night, Pandora |God |||Dark |Dark |6 Stars |25|5000|Suzuki Kaori |Panda 
1075|Strawberry Dragon |Dragon |||Fire ||4 Stars |20|3000||
1076|Red Sky Fruit, Strawberry Dragon |Dragon |||Fire |Wood |5 Stars |35|3000||
1077|Berry Dragon |Dragon |||Water ||4 Stars |20|3000||
1078|Blue Sky Fruit, Berry Dragon |Dragon |||Water |Wood |5 Stars |35|3000||
1079|Melon Dragon |Dragon |||Wood ||4 Stars |20|3000||
1080|Green Sky Fruit, Melon Dragon |Dragon |||Wood |Wood |5 Stars |35|3000||
1081|Lemon Dragon |Dragon |||Light ||4 Stars |20|3000||
1082|Yellow Sky Fruit, Lemon Dragon |Dragon |||Light |Wood |5 Stars |35|3000||
1083|Grape Dragon |Dragon |||Dark ||4 Stars |20|3000||
1084|Purple Sky Fruit, Grape Dragon |Dragon |||Dark |Wood |5 Stars |35|3000||
1085|Red Dragon Fruit |Evo Material |||Fire |Wood |6 Stars |1|1||
1086|Blue Dragon Fruit |Evo Material |||Water |Wood |6 Stars |1|1||
1087|Green Dragon Fruit |Evo Material |||Wood |Light |6 Stars |1|1||
1088|Blue Dragon Caller, Sonia |Dragon |Physical ||Water |Dark |6 Stars |40|50000|Yosuke Adachi |Blonia, Bonia, Blue Sonia 
1089|Endless Blue Dragon Caller, Sonia |Dragon |Physical ||Water |Dark |7 Stars |60|50000|Yosuke Adachi |Blonia, Bonia, Blue Sonia
1090|Hurricane Volcano Dragon |Dragon |Attacker ||Fire |Wood |6 Stars |35|1|Yosuke Adachi |MVD, HVD 
1091|Blast Aurora Dragon |Dragon |Physical ||Water |Fire |6 Stars |35|1|Yosuke Adachi |CAD, BAD 
1092|Generate Earth Dragon |Dragon |Balanced ||Wood |Fire |6 Stars |35|1|Shinnosuke Hino |GED 
1093|Tornado Holy Dragon |Dragon |Healer ||Light |Wood |6 Stars |35|1|Shinnosuke Hino |
1094|Cyclone Devil Dragon |Dragon |Devil ||Dark |Wood |6 Stars |35|1|Itou Youichi |CDD 
1095|Water Twin Star Leviathan |Dragon |Physical ||Water |Water |6 Stars |33|3000||
1096|Wind Twin Star Fafnir |Dragon |Balanced ||Wood |Wood |6 Stars |33|3000|Shinnosuke Hino |
1097|Heracles |God |Physical ||Wood ||6 Stars |40|20|Ikeya |
1098|Champion of Olympus, Heracles |God |Physical ||Wood |Light |7 Stars |60|20|Ikeya |
1099|Crimson Lotus Mistress, Echidna |Healer |||Fire |Fire |6 Stars |23|1|Shinnosuke Hino |
1100|Sea God's Songstress, Siren |Healer |||Water |Water |6 Stars |23|1|Yosuke Adachi |
1101|World Tree Sprite, Alraune |Healer |||Wood |Wood |6 Stars |23|1|Suzuki Kaori |
1102|Creation Tree Spirit, Alraune |Balanced |||Wood |Light |6 Stars |23|1|Suzuki Kaori |
1103|Heavenly Herald, Archangel |Healer |God ||Light |Water |6 Stars |23|1|Shinnosuke Hino |
1104|Sanctuary Guardian, Archangel |Healer |God ||Light |Light |6 Stars |23|1|Shinnosuke Hino |
1105|Moonbeam Fang Witch, Lilith |Attacker |Devil ||Dark |Light |6 Stars |23|1|Yosuke Adachi |
1106|Pitch Black Night Princess, Lilith |Healer |Devil ||Dark |Dark |6 Stars |23|1|Yosuke Adachi |
1107|Phantom God, Odin |God |||Fire ||6 Stars |30|50000|Shinnosuke Hino |Rodin, Red Odin 
1108|Awoken Phantom God, Odin |God |Attacker ||Fire |Dark |7 Stars |50|50000|Shinnosuke Hino |Rodin, Red Odin 
1109|Flame Twin Star Ifrit |Dragon |Devil ||Fire |Fire |6 Stars |33|3000||
1110|Light Twin Star Divinegon |Dragon |God ||Light |Light |6 Stars |33|3000||
1111|Dark Twin Star Tiamat |Dragon |Attacker ||Dark |Dark |6 Stars |33|3000||
1112|Karmic Destroyer, Shiva |God |Physical ||Fire |Water |7 Stars |35|5000|Shinnosuke Hino |
1113|Demolishing Creator, Shiva |God |Devil ||Fire |Dark |7 Stars |35|5000|Shinnosuke Hino |
1114|Heavenly Fortune Goddess, Lakshmi |God |Healer ||Water |Wood |7 Stars |35|5000|Yosuke Adachi |
1115|Purple Lotus Chanter, Lakshmi |God |Balanced ||Water |Light |7 Stars |35|5000|Yosuke Adachi |
1116|White Hot Dancing Goddess, Parvati |God |Balanced ||Wood |Fire |7 Stars |35|5000|Yosuke Adachi |
1117|Jade Oracle, Parvati |God |Physical ||Wood |Light |7 Stars |35|5000|Yosuke Adachi |
1118|Sandalphon |God |Healer ||Light ||6 Stars |25|20|Kozaki Yuusuke |Sandal phone 
1119|Awoken Sandalphon |God |Healer ||Light |Water |7 Stars |35|20|Kozaki Yuusuke |Sandal phone 
1120|Berserker Z |Devil |||Fire ||4 Stars |15|3000||
1121|Blazing Hammer Brute, Prometheus |Devil |||Fire |Fire |5 Stars |25|3000||
1122|Ur-Chimera |Healer |||Water ||4 Stars |15|3000||
1123|Guivre Chimera |Healer |||Water |Water |5 Stars |25|3000||
1124|GrimRock |Physical |||Wood ||4 Stars |15|3000||
1125|GrimCrystal |Physical |||Wood |Wood |5 Stars |25|3000||
1126|Radious |God |||Light ||4 Stars |15|3000||
1127|Angelious |God |Healer ||Light |Light |5 Stars |25|3000||
1128|Dragon Samurai |Dragon |||Dark ||4 Stars |15|3000||
1129|Dragon Shogun |Dragon |Attacker ||Dark |Dark |5 Stars |25|3000||
1130|Avalon Drake |God |||Wood ||5 Stars |20|5000||
1131|Guardian Dragon, Avalon Drake |God |Dragon ||Wood |Light |6 Stars |30|5000||
1132|Dark Red Skydragon, El Dorado |Dragon |God ||Fire ||6 Stars |50|10||
1133|Dark Blue Skydragon, Nirai Kanai |Dragon |God ||Water ||6 Stars |50|10||
1134|Dark Holy Skydragon, Shangri-La |Dragon |God ||Light ||6 Stars |50|10||
1135|Dark Night Skydragon, Elysium |Dragon |God ||Dark ||6 Stars |50|10||
1136|Kitty Flamie |Balanced |||Fire ||3 Stars |6|1||
1137|Kitty FlaBaddie |Balanced |||Fire |Dark |4 Stars |11|1||
1138|Kitty Bubblie |Balanced |||Water ||3 Stars |6|1||
1139|Kitty BubFlamie |Balanced |||Water |Fire |4 Stars |11|1||
1140|Kitty Woodie |Physical |||Wood ||3 Stars |6|1||
1141|Kitty WoodBubblie |Physical |||Wood |Water |4 Stars |11|1||
1142|Kitty Shynee |Physical |||Light ||3 Stars |6|1||
1143|Kitty ShyWoodie |Physical |||Light |Wood |4 Stars |11|1||
1144|Kitty Baddie |Healer |||Dark ||3 Stars |6|1||
1145|Kitty BadShynee |Healer |||Dark |Light |4 Stars |11|1||
1146|Kittyn & Mimmyna |Balanced |||Water ||5 Stars |20|1||
1147|Apple Springs Kittyn & Mimmyna |Balanced |||Water |Water |6 Stars |30|1||
1148|Apple Drawn |Dragon |||Dark ||4 Stars |10|10||
1149|Hello Kitty World Joker |Dragon |Devil ||Dark |Dark |5 Stars |15|10||
1150|Hello Kitty |Balanced |||Fire ||4 Stars |10|3000||
1151|Kitty & Tyrra |Balanced |Dragon ||Fire |Fire |5 Stars |20|3000||
1152|Kerokerokeroppi |Physical |||Water ||4 Stars |10|3000||
1153|Keroppi & Plessie |Physical |Dragon ||Water |Water |5 Stars |20|3000||
1154|My Melody |Balanced |||Wood ||4 Stars |10|3000||
1155|Melody & Brachy |Balanced |Dragon ||Wood |Wood |5 Stars |20|3000||
1156|Bad Badtz-Maru |Attacker |||Dark ||4 Stars |10|3000||
1157|Pierdra Badtz-Maru |Attacker |||Dark |Dark |5 Stars |20|3000||
