Generated 10-29-2016: 7:30PM (Run time: 4H:30M)

1 |Total Attributes:  8 |Tyrra ||Dragon |Fire |2 Stars |2 |1 |Shinnosuke Hino |
481 |Total Attributes:  8 |Icedragon Depth Plesios ||Dragon |Water | /  |Water |6 Stars |15 |1 |Yosuke Adachi |
482 |Total Attributes:  8 |Flowerdragon Gaia Brachys ||Dragon |Wood | /  |Wood |6 Stars |15 |1 |Itou Youichi |
483 |Total Attributes:  8 |Sundragon Sol Pterados ||Dragon |Light | /  |Light |6 Stars |15 |1 |Itou Youichi |
484 |Total Attributes:  8 |Moondragon Lunar D'spinas ||Dragon |Dark | /  |Dark |6 Stars |15 |1 |Murase Rintaro |
485 |Total Attributes:  7 |UNPRINTABLE ||Enhance Material |Light | /  |Dark |6 Stars |1 |1 |
486 |Total Attributes:  8 |Gamble Mage ||Attacker |Dark |4 Stars |7 |3000 |Shinnosuke Hino |
487 |Total Attributes:  8 |Daredevil of Dark, Gamble Mage ||Attacker |Dark | /  |Dark |5 Stars |17 |3000 |Shinnosuke Hino |
488 |Total Attributes:  7 |Chrono Turtle ||Physical |Water |4 Stars |8 |3000 |
489 |Total Attributes:  7 |Missionary of Time, Chrono Turtle ||Physical |Water | /  |Wood |5 Stars |18 |3000 |
490 |Total Attributes:  9 |Horus ||God |Fire |5 Stars |20 |5000 |Murase Rintaro |KFC |
491 |Total Attributes:  9 |Flame Deity, Falcon Horus ||God |Fire | /  |Fire |6 Stars |25 |5000 |Murase Rintaro |KFC |
492 |Total Attributes:  8 |Isis ||God |Water |5 Stars |20 |5000 |Shinnosuke Hino |
493 |Total Attributes:  8 |Water Deity, Holy Isis ||God |Water | /  |Water |6 Stars |25 |5000 |Shinnosuke Hino |
494 |Total Attributes:  9 |Bastet ||God |Wood |5 Stars |20 |5000 |Yosuke Adachi |Catte |
495 |Total Attributes:  9 |Love Deity, Feline Bastet ||God |Wood | /  |Wood |6 Stars |25 |5000 |Yosuke Adachi |Catte |
496 |Total Attributes:  8 |Ra ||God |Light |5 Stars |20 |5000 |Murase Rintaro |
497 |Total Attributes:  8 |Sun Deity Ra ||God |Light | /  |Light |6 Stars |25 |5000 |Murase Rintaro |
498 |Total Attributes:  9 |Anubis ||God |Dark |5 Stars |20 |5000 |Itou Youichi |One True God |
499 |Total Attributes:  9 |Hell Deity, Jackal Anubis ||God |Dark | /  |Dark |6 Stars |25 |5000 |Itou Youichi |One True God |
500 |Total Attributes:  7 |Princess Punt ||Balanced |Light |4 Stars |15 |1 |
501 |Total Attributes:  7 |Anne Punt Quettebuss ||Balanced |Light |5 Stars |20 |1 |
502 |Total Attributes:  7 |Dinocorn ||Balanced |Fire |4 Stars |15 |10 |
503 |Total Attributes:  7 |Dinocorn King ||Balanced |Fire |5 Stars |20 |10 |
504 |Total Attributes:  7 |Baby Seal ||Balanced |Water |3 Stars |5 |1 |
505 |Total Attributes:  7 |Mr. Walrus ||Balanced |Water |4 Stars |10 |1 |
506 |Total Attributes:  7 |Jelly's Angel ||Balanced |Wood |3 Stars |5 |1 |
507 |Total Attributes:  7 |The Jelly's Angels ||Balanced |Wood |4 Stars |10 |1 |
508 |Total Attributes:  7 |Balloon Penguin ||Balanced |Light |3 Stars |5 |1 |
509 |Total Attributes:  7 |Kite Penguin ||Balanced |Light |4 Stars |10 |1 |
510 |Total Attributes:  7 |Goggler ||Balanced |Dark |3 Stars |5 |1 |
511 |Total Attributes:  7 |Devil Eye ||Balanced |Dark |4 Stars |10 |1 |
512 |Total Attributes:  9 |Red Giant Gigas ||Physical |Fire |5 Stars |30 |1 |Shinnosuke Hino |RGG |
513 |Total Attributes:  8 |King Siegfried, Blue Champion ||Physical |Water |6 Stars |30 |15 |Itou Youichi |
514 |Total Attributes:  8 |More Cu Chulainn, the Hero ||Balanced |Wood |6 Stars |30 |15 |Itou Youichi |
515 |Total Attributes:  8 |Princess Valkyrie ||Healer |Light |6 Stars |30 |15 |Shinnosuke Hino |
516 |Total Attributes:  8 |Duke Vampire Lord ||Balanced | /  |Devil |Dark |5 Stars |30 |1 |Shinnosuke Hino |
517 |Total Attributes:  7 |Present Egg ||Enhance Material |Light |4 Stars |5 |1 |
518 |Total Attributes:  7 |Present Egg ||Enhance Material |Light |4 Stars |5 |1 |
519 |Total Attributes:  7 |Present Egg ||Enhance Material |Light |4 Stars |5 |1 |
520 |Total Attributes:  8 |Snow Globe Dragon Rouge ||Enhance Material |Fire |5 Stars |13 |1 |Noel |
521 |Total Attributes:  8 |Snow Globe Dragon Bleu ||Enhance Material |Water |5 Stars |13 |1 |Noel |
522 |Total Attributes:  8 |Snow Globe Dragon Vert ||Enhance Material |Wood |5 Stars |13 |1 |Noel |
523 |Total Attributes:  8 |Red Moltdra ||Enhance Material |Fire |2 Stars |3 |1 |Suzuki Kaori |
524 |Total Attributes:  8 |Blue Moltdra ||Enhance Material |Water |2 Stars |3 |1 |Suzuki Kaori |
525 |Total Attributes:  8 |Green Moltdra ||Enhance Material |Wood |2 Stars |3 |1 |Suzuki Kaori |
526 |Total Attributes:  7 |Ranger ||Attacker |Fire |4 Stars |10 |3000 |
527 |Total Attributes:  7 |Ultimate Ranger ||Attacker |Fire | /  |Fire |5 Stars |15 |3000 |
528 |Total Attributes:  7 |Puppetmaster ||Healer | /  |Machine |Water |5 Stars |13 |5000 |
529 |Total Attributes:  7 |Ultimate Puppetmaster ||Healer | /  |Machine |Water | /  |Water |6 Stars |19 |5000 |
530 |Total Attributes:  7 |Fencer ||Balanced |Dark |4 Stars |10 |3000 |
531 |Total Attributes:  7 |Ultimate Fencer ||Balanced |Dark | /  |Dark |5 Stars |15 |3000 |
532 |Total Attributes:  7 |Ranger Santa ||Attacker |Fire | /  |Light |4 Stars |20 |3000 |
533 |Total Attributes:  7 |Ultimate Ranger Santa ||Attacker | /  |God |Fire | /  |Light |5 Stars |25 |3000 |
534 |Total Attributes:  7 |Puppetmaster Santa ||Healer | /  |Machine |Water | /  |Light |5 Stars |25 |5000 |
535 |Total Attributes:  7 |Ultimate Puppetmaster Santa ||Healer | /  |Machine | /  |God |Water | /  |Light |6 Stars |30 |5000 |
536 |Total Attributes:  7 |Fencer Santa ||Balanced |Dark | /  |Light |4 Stars |20 |3000 |
537 |Total Attributes:  7 |Ultimate Fencer Santa ||Balanced | /  |God |Dark | /  |Light |5 Stars |25 |3000 |
538 |Total Attributes:  7 |Alex Santa ||Physical |Light |5 Stars |40 |1 |
539 |Total Attributes:  7 |Ultimate Alex Santa ||Physical |Light | /  |Light |6 Stars |50 |1 |
540 |Total Attributes:  7 |Fire Samurai Dragon, Shingen ||Dragon | /  |Physical |Fire |6 Stars |25 |10 |
541 |Total Attributes:  7 |Water Samurai Dragon, Kenshin ||Dragon | /  |Attacker |Water |6 Stars |25 |10 |
542 |Total Attributes:  7 |Wood Samurai Dragon, Masamune ||Dragon | /  |Attacker |Wood |6 Stars |25 |10 |
543 |Total Attributes:  7 |Light Samurai Dragon, Hideyoshi ||Dragon | /  |Physical |Light |6 Stars |25 |10 |
544 |Total Attributes:  8 |Dark Samurai Dragon, Nobunaga ||Dragon | /  |Attacker |Dark |6 Stars |25 |10 |Shinnosuke Hino |
545 |Total Attributes:  7 |Low Fire Ninja ||Attacker |Fire |2 Stars |3 |1 |
546 |Total Attributes:  7 |Mid Fire Ninja ||Attacker |Fire |3 Stars |7 |1 |
547 |Total Attributes:  7 |Low Water Ninja ||Attacker |Water |2 Stars |3 |1 |
548 |Total Attributes:  7 |Mid Water Ninja ||Attacker |Water |3 Stars |7 |1 |
549 |Total Attributes:  7 |Low Wood Ninja ||Attacker |Wood |2 Stars |3 |1 |
550 |Total Attributes:  7 |Mid Wood Ninja ||Attacker |Wood |3 Stars |7 |1 |
551 |Total Attributes:  7 |Low Light Ninja ||Attacker |Light |2 Stars |3 |1 |
552 |Total Attributes:  7 |Mid Light Ninja ||Attacker |Light |3 Stars |7 |1 |
553 |Total Attributes:  7 |Low Dark Ninja ||Attacker |Dark |2 Stars |3 |1 |
554 |Total Attributes:  7 |Mid Dark Ninja ||Attacker |Dark |3 Stars |7 |1 |
555 |Total Attributes:  8 |Mochizuki Chiyome ||Balanced |Fire |5 Stars |10 |5000 |Suzuki Kaori |
556 |Total Attributes:  8 |Flame Shrine Maiden, Chiyome ||Balanced |Fire |6 Stars |15 |5000 |Suzuki Kaori |
557 |Total Attributes:  8 |Hatsume no Tsubone ||Healer |Water |5 Stars |10 |5000 |Itou Youichi |
558 |Total Attributes:  8 |Blue Wind Ninja, Hatsume ||Healer |Water |6 Stars |15 |5000 |Itou Youichi |
559 |Total Attributes:  8 |Sarutobi Sasuke ||Attacker |Wood |5 Stars |10 |5000 |Yosuke Adachi |
560 |Total Attributes:  8 |Wind Prodigy, Sasuke ||Attacker |Wood |6 Stars |15 |5000 |Yosuke Adachi |
561 |Total Attributes:  8 |Fuma Kotaro ||Physical |Light |5 Stars |10 |5000 |Shinnosuke Hino |
562 |Total Attributes:  8 |Lightning Storm, Fuma Kotaro ||Physical |Light |6 Stars |15 |5000 |Shinnosuke Hino |
563 |Total Attributes:  9 |Hattori Hanzo ||Attacker |Dark |5 Stars |10 |5000 |Murase Rintaro |Hanzbro |
564 |Total Attributes:  9 |High Dark Ninja, Hanzo ||Attacker |Dark |6 Stars |15 |5000 |Murase Rintaro |Hanzbro |
565 |Total Attributes:  8 |Ishikawa Goemon ||Physical |Fire |6 Stars |25 |15 |Itou Youichi |
566 |Total Attributes:  8 |Goemon, the Thief ||Physical |Fire |7 Stars |45 |15 |Itou Youichi |
567 |Total Attributes:  8 |Ares ||God |Fire |5 Stars |20 |5000 |Shinnosuke Hino |
568 |Total Attributes:  8 |War Deity Ares ||God |Fire | /  |Fire |6 Stars |25 |5000 |Shinnosuke Hino |
569 |Total Attributes:  8 |Hermes ||God |Water |5 Stars |20 |5000 |Murase Rintaro |
570 |Total Attributes:  8 |Commerce Deity Hermes ||God |Water | /  |Water |6 Stars |25 |5000 |Murase Rintaro |
571 |Total Attributes:  8 |Artemis ||God |Wood |5 Stars |20 |5000 |Yosuke Adachi |
572 |Total Attributes:  8 |Hunting Deity Artemis ||God |Wood | /  |Wood |6 Stars |25 |5000 |Yosuke Adachi |
573 |Total Attributes:  8 |Apollo ||God |Light |5 Stars |20 |5000 |Murase Rintaro |
574 |Total Attributes:  8 |Solar Deity Apollo ||God |Light | /  |Light |6 Stars |25 |5000 |Murase Rintaro |
575 |Total Attributes:  8 |Persephone ||God |Dark |5 Stars |20 |5000 |Itou Youichi |
576 |Total Attributes:  8 |Hell Queen Persephone ||God |Dark | /  |Dark |6 Stars |25 |5000 |Itou Youichi |
577 |Total Attributes:  8 |Gold Moltdra ||Enhance Material |Light |2 Stars |3 |1 |Suzuki Kaori |
578 |Total Attributes:  8 |Black Moltdra ||Enhance Material |Dark |2 Stars |3 |1 |Suzuki Kaori |
579 |Total Attributes:  7 |Will-O'-Wisp ||Attacker |Fire |1 Star |2 |1 |
580 |Total Attributes:  7 |Flame Spirit Will-O'-Wisp ||Attacker |Fire |2 Stars |5 |1 |
581 |Total Attributes:  7 |Kelpie ||Balanced |Water |1 Star |2 |1 |
582 |Total Attributes:  7 |Water Horse Kelpie ||Balanced |Water |2 Stars |5 |1 |
583 |Total Attributes:  7 |Treant ||Physical |Wood |1 Star |2 |1 |
584 |Total Attributes:  7 |Wood Sage Treant ||Physical |Wood |2 Stars |5 |1 |
585 |Total Attributes:  7 |Pixie ||Healer |Light |1 Star |2 |1 |
586 |Total Attributes:  7 |Light Sprite Pixie ||Healer |Light |2 Stars |5 |1 |
587 |Total Attributes:  7 |Werewolf ||Attacker |Dark |1 Star |2 |1 |
588 |Total Attributes:  7 |Midnight Beast Werewolf ||Attacker |Dark |2 Stars |5 |1 |
589 |Total Attributes:  7 |Seven Dragon King ||Enhance Material |Fire |5 Stars |1 |1 |
590 |Total Attributes:  7 |Eleven Dragon King ||Enhance Material |Wood |5 Stars |1 |1 |
591 |Total Attributes:  7 |Moogle&Carbuncle ||Healer |Light |4 Stars |10 |1 |
592 |Total Attributes:  7 |Ultimate Moogle&Carbuncle ||Healer |Light | /  |Light |5 Stars |15 |1 |
593 |Total Attributes:  7 |Angeling ||Enhance Material |Fire |4 Stars |12 |1 |
594 |Total Attributes:  7 |Archangeling ||Enhance Material |Water |4 Stars |12 |10 |
595 |Total Attributes:  7 |Deviling ||Enhance Material |Dark |4 Stars |12 |10 |
596 |Total Attributes:  9 |Hera-Is ||God |Water |6 Stars |40 |20 |Itou Youichi |Ice Hera |
597 |Total Attributes:  9 |Awoken Hera-Is ||Devil | /  |God |Water | /  |Dark |7 Stars |60 |20 |Itou Youichi |Ice Hera |
598 |Total Attributes:  9 |Hera-Ur ||God |Fire |6 Stars |40 |20 |Itou Youichi |Fire Hera |
599 |Total Attributes:  9 |Awoken Hera-Ur ||Devil | /  |God |Fire | /  |Dark |7 Stars |60 |20 |Itou Youichi |Fire Hera |
600 |Total Attributes:  8 |Shiny Pengdra ||Enhance Material |Light |2 Stars |4 |1 |Suzuki Kaori |
601 |Total Attributes:  8 |Topaz Pengdra ||Enhance Material |Light |3 Stars |5 |1 |Suzuki Kaori |
602 |Total Attributes:  8 |Dark Pengdra ||Enhance Material |Dark |2 Stars |4 |1 |Suzuki Kaori |
603 |Total Attributes:  8 |Amethyst Pengdra ||Enhance Material |Dark |3 Stars |5 |1 |Suzuki Kaori |
604 |Total Attributes:  7 |Mechadon ||Evo Material |Fire |3 Stars |1 |1 |
605 |Total Attributes:  7 |Taiko Master! Don-chan ||Healer |Light |4 Stars |15 |1 |
606 |Total Attributes:  7 |Taiko God Don-chan ||Healer | /  |God |Light | /  |Fire |5 Stars |30 |1 |
607 |Total Attributes:  7 |Atsui-san ||Attacker |Fire |3 Stars |5 |1 |
608 |Total Attributes:  7 |Merari! Atsui-san ||Attacker |Fire |4 Stars |10 |1 |
609 |Total Attributes:  7 |White-san ||Healer |Water |3 Stars |5 |1 |
610 |Total Attributes:  7 |Uttorin White-san ||Healer |Water |4 Stars |10 |1 |
611 |Total Attributes:  7 |Kapibara-san ||Physical |Wood |4 Stars |10 |10 |
612 |Total Attributes:  7 |Nobon Kapibara-san ||Physical |Wood | /  |Water |5 Stars |15 |10 |
613 |Total Attributes:  7 |Hidamari-san ||Balanced |Light |3 Stars |5 |1 |
614 |Total Attributes:  7 |Furawan Hidamari-san ||Balanced |Light | /  |Wood |4 Stars |10 |1 |
615 |Total Attributes:  7 |Regent-kun ||Balanced |Dark |3 Stars |5 |1 |
616 |Total Attributes:  7 |Bun Bun Regent-kun ||Balanced |Dark |4 Stars |10 |1 |
617 |Total Attributes:  7 |Super King Ruby Dragon ||Enhance Material |Fire |6 Stars |1 |1 |
618 |Total Attributes:  7 |Super King Sapphire Dragon ||Enhance Material |Water |6 Stars |1 |1 |
619 |Total Attributes:  7 |Super King Emerald Dragon ||Enhance Material |Wood |6 Stars |1 |1 |
620 |Total Attributes:  8 |Archangel Uriel ||God |Fire | /  |Light |5 Stars |25 |5000 |Yosuke Adachi |
621 |Total Attributes:  8 |Fire Dominion Uriel ||God |Fire | /  |Light |6 Stars |30 |5000 |Yosuke Adachi |
622 |Total Attributes:  8 |Archangel Gabriel ||God |Water | /  |Light |5 Stars |25 |5000 |Yosuke Adachi |
623 |Total Attributes:  8 |Water Dominion Gabriel ||God |Water | /  |Light |6 Stars |30 |5000 |Yosuke Adachi |
624 |Total Attributes:  8 |Archangel Michael ||God |Wood | /  |Light |5 Stars |25 |5000 |Suzuki Kaori |
625 |Total Attributes:  8 |Wood Dominion Michael ||God |Wood | /  |Light |6 Stars |30 |5000 |Suzuki Kaori |
626 |Total Attributes:  8 |Archangel Raphael ||God |Light | /  |Light |5 Stars |25 |5000 |Murase Rintaro |
627 |Total Attributes:  8 |Light Dominion Raphael ||God |Light | /  |Light |6 Stars |30 |5000 |Murase Rintaro |
628 |Total Attributes:  8 |Archangel Lucifer ||God |Dark | /  |Light |5 Stars |25 |5000 |Shinnosuke Hino |
629 |Total Attributes:  8 |Seraph of Dawn Lucifer ||God |Dark | /  |Light |6 Stars |30 |5000 |Shinnosuke Hino |
630 |Total Attributes:  8 |Belial ||Devil |Fire | /  |Dark |5 Stars |25 |5000 |Chaichi |
631 |Total Attributes:  8 |Flame Archdemon Belial ||Devil |Fire | /  |Dark |6 Stars |30 |5000 |Chaichi |
632 |Total Attributes:  9 |Amon ||Devil |Water | /  |Dark |5 Stars |25 |5000 |Yosuke Adachi |Wizard Owl |
633 |Total Attributes:  9 |Blizzard Archdemon Amon ||Devil |Water | /  |Dark |6 Stars |30 |5000 |Yosuke Adachi |Wizard Owl |
634 |Total Attributes:  8 |Astaroth ||Devil |Wood | /  |Dark |5 Stars |25 |5000 |Suzuki Kaori |
635 |Total Attributes:  8 |Wind Archdemon Astaroth ||Devil |Wood | /  |Dark |6 Stars |30 |5000 |Suzuki Kaori |
636 |Total Attributes:  8 |Baal ||Devil |Light | /  |Dark |5 Stars |25 |5000 |Yosuke Adachi |
637 |Total Attributes:  8 |Lightning Archdemon Baal ||Devil |Light | /  |Dark |6 Stars |30 |5000 |Yosuke Adachi |
638 |Total Attributes:  8 |Fallen Angel Lucifer ||Devil |Dark | /  |Dark |5 Stars |25 |5000 |Shinnosuke Hino |
639 |Total Attributes:  8 |Dark Archdemon Lucifer ||Devil |Dark | /  |Dark |6 Stars |30 |5000 |Shinnosuke Hino |
640 |Total Attributes:  8 |Archangel Metatron ||God | /  |Healer |Light |5 Stars |30 |15000 |Shinnosuke Hino |
641 |Total Attributes:  9 |Voice of God, Metatron ||God | /  |Healer |Light | /  |Light |6 Stars |50 |15000 |Shinnosuke Hino |Ltron, Lmeta, Light Metatron |
642 |Total Attributes:  9 |Dark Angel Metatron ||God | /  |Attacker |Dark |6 Stars |40 |50000 |Shinnosuke Hino |Dtron, Dmeta, Dark Metatron |
643 |Total Attributes:  9 |Hand of the Dark God, Metatron ||God | /  |Attacker |Dark | /  |Light |7 Stars |60 |50000 |Shinnosuke Hino |Dtron, Dmeta, Dark Metatron |
644 |Total Attributes:  8 |Beelzebub ||Devil |Dark |6 Stars |40 |20 |Murase Rintaro |
645 |Total Attributes:  8 |Archdemon Beelzebub ||Devil | /  |Attacker |Dark | /  |Water |7 Stars |60 |20 |Murase Rintaro |
646 |Total Attributes:  8 |Satan ||Devil |Dark |6 Stars |40 |20 |Itou Youichi |
647 |Total Attributes:  8 |Satan, King of the Underworld ||Devil |Dark | /  |Water |7 Stars |60 |20 |Itou Youichi |
648 |Total Attributes:  8 |Athena ||God |Light | /  |Wood |6 Stars |40 |20 |Yosuke Adachi |
649 |Total Attributes:  8 |Awoken Athena ||God |Light | /  |Wood |7 Stars |60 |20 |Yosuke Adachi |
650 |Total Attributes:  8 |Zeus-Dios ||God |Wood |6 Stars |45 |20 |Itou Youichi |
651 |Total Attributes:  8 |Awoken Zeus-Dios ||God | /  |Balanced |Wood | /  |Light |7 Stars |60 |20 |Itou Youichi |
652 |Total Attributes:  8 |Freyr, the Blazing Swordsman ||God | /  |Attacker |Fire | /  |Fire |7 Stars |35 |5000 |Yosuke Adachi |
653 |Total Attributes:  9 |Idunn&Idunna, the Twin Archers ||God | /  |Balanced |Water | /  |Water |7 Stars |35 |5000 |Shinnosuke Hino |I&I |
654 |Total Attributes:  8 |Freyja, the Fertility Goddess ||God | /  |Healer |Wood | /  |Wood |7 Stars |35 |5000 |Yosuke Adachi |
655 |Total Attributes:  8 |Thor, the Wielder of Mjolnir ||God | /  |Physical |Light | /  |Light |7 Stars |35 |5000 |Shinnosuke Hino |
656 |Total Attributes:  8 |Loki, the Finisher ||God | /  |Devil |Dark | /  |Dark |7 Stars |35 |5000 |Yosuke Adachi |
657 |Total Attributes:  8 |Holy Thunderdragon Indra ||God | /  |Dragon |Light | /  |Light |7 Stars |40 |5000 |Itou Youichi |
658 |Total Attributes:  8 |Evil Darkdragon Vritra ||God | /  |Dragon |Dark | /  |Dark |7 Stars |40 |5000 |Itou Youichi |
659 |Total Attributes:  7 |Puzzdroid ||Physical | /  |Machine |Wood |4 Stars |10 |1 |
660 |Total Attributes:  7 |Droidragon ||Physical | /  |Dragon |Wood |5 Stars |15 |1 |
661 |Total Attributes:  7 |Chaos Blizzard Dragon ||Dragon | /  |Devil |Water |5 Stars |25 |1 |
662 |Total Attributes:  7 |Cathy Crazy ||Attacker |Dark |3 Stars |5 |1 |
663 |Total Attributes:  7 |UNPRINTABLE ||Attacker |Dark |4 Stars |10 |1 |
664 |Total Attributes:  7 |Ukai Magoroku ||Balanced |Water |3 Stars |5 |1 |
665 |Total Attributes:  7 |Blue Ninja, Ukai Magoroku ||Balanced |Water |4 Stars |10 |1 |
666 |Total Attributes:  8 |ECO Tiny Alma ||Balanced |Light |5 Stars |18 |10 |Yosuke Adachi |
667 |Total Attributes:  8 |ECO Dumpty ||Balanced |Dark |4 Stars |12 |1 |Yosuke Adachi |
668 |Total Attributes:  8 |ECO Dumpty Alma ||Balanced |Dark |5 Stars |18 |1 |Yosuke Adachi |
669 |Total Attributes:  7 |Joker ||Devil |Dark |4 Stars |10 |10 |
670 |Total Attributes:  7 |Joker+A. Blossom ||Devil |Dark |5 Stars |20 |10 |
671 |Total Attributes:  7 |Catwoman ||Healer |Fire |4 Stars |10 |3000 |
672 |Total Attributes:  7 |Catwoman+C. Claw ||Healer |Fire | /  |Fire |5 Stars |20 |3000 |
673 |Total Attributes:  7 |Robin ||Balanced |Wood |4 Stars |10 |3000 |
674 |Total Attributes:  7 |Robin+E. Stick ||Balanced |Wood | /  |Wood |5 Stars |20 |3000 |
675 |Total Attributes:  8 |Batman+S. Gloves ||Physical |Dark | /  |Light |5 Stars |15 |5000 |Shinnosuke Hino |
676 |Total Attributes:  8 |Batman+S. Gloves Act ||Physical |Dark | /  |Light |6 Stars |25 |5000 |Shinnosuke Hino |
677 |Total Attributes:  7 |Batman+Batarang ||Attacker |Dark | /  |Dark |4 Stars |10 |3000 |
678 |Total Attributes:  7 |Batman+Remote Claw ||Attacker |Dark | /  |Dark |5 Stars |20 |3000 |
679 |Total Attributes:  7 |Batman+Batwing ||Balanced |Dark | /  |Water |5 Stars |15 |5000 |
680 |Total Attributes:  7 |Batman+BW Attack ||Balanced |Dark | /  |Water |6 Stars |25 |5000 |
681 |Total Attributes:  7 |Manekimewdra ||Enhance Material |Light |3 Stars |1 |1 |
682 |Total Attributes:  8 |Heavy Metal Dragon ||Dragon |Dark |6 Stars |40 |15 |Itou Youichi |
683 |Total Attributes:  8 |Dragon Lord Zaerog ||Dragon |Dark |7 Stars |50 |15 |Itou Youichi |
684 |Total Attributes:  8 |King Flamie ||Attacker |Fire |3 Stars |7 |1 |Itou Youichi |
685 |Total Attributes:  8 |King Bubblie ||Physical |Water |3 Stars |7 |1 |Itou Youichi |
686 |Total Attributes:  8 |King Woodsie ||Balanced |Wood |3 Stars |7 |1 |Itou Youichi |
687 |Total Attributes:  8 |King Shynee ||Healer |Light |3 Stars |7 |1 |Itou Youichi |
688 |Total Attributes:  8 |King Baddie ||Devil |Dark |3 Stars |7 |1 |Itou Youichi |
689 |Total Attributes:  8 |Rowdy Red Samurai Goblin ||Attacker |Fire |3 Stars |10 |1 |Shinnosuke Hino |
690 |Total Attributes:  8 |Marine Spec Ops Goblin ||Attacker |Water |3 Stars |10 |1 |Shinnosuke Hino |
691 |Total Attributes:  8 |Heavy Infantry Hobgoblin ||Attacker |Wood |3 Stars |10 |1 |Shinnosuke Hino |
692 |Total Attributes:  8 |Earth-Rending Emperor, Siegfried ||Physical |Water | /  |Fire |7 Stars |35 |15 |Itou Youichi |
693 |Total Attributes:  8 |Noble Wolf King Hero, Cu Chulainn ||Balanced |Wood | /  |Dark |7 Stars |35 |15 |Itou Youichi |
694 |Total Attributes:  8 |Warrior Rose, Graceful Valkyrie ||Healer |Light | /  |Wood |7 Stars |35 |15 |Shinnosuke Hino |
695 |Total Attributes:  8 |Asuka&Eva Unit-02 ||Attacker | /  |Machine |Fire |4 Stars |10 |3000 |Yosuke Adachi |
696 |Total Attributes:  8 |Asuka&Upgraded Eva Unit-02 ||Attacker | /  |Machine |Fire | /  |Fire |5 Stars |15 |3000 |Yosuke Adachi|
697 |Total Attributes:  7 |Shinji&Eva Unit-01 ||Attacker | /  |Machine |Water |4 Stars |10 |3000 |
698 |Total Attributes:  7 |Awoken Shinji&Eva Unit-01 ||Attacker | /  |Machine |Water | /  |Water |5 Stars |15 |3000 |
699 |Total Attributes:  7 |Mari&Eva Provisional Unit-05 ||Attacker | /  |Machine |Wood |4 Stars |10 |3000 |
700 |Total Attributes:  7 |Mari&Eva Unit-08 ||Attacker | /  |Machine |Wood | /  |Wood |5 Stars |15 |3000 |
701 |Total Attributes:  7 |Rei&Eva Unit-00 ||Attacker | /  |Machine |Light |4 Stars |10 |3000 |
702 |Total Attributes:  7 |Rei&Eva Unit-00, Suicide ATK Mode ||Attacker | /  |Machine |Light | /  |Light |5 Stars |15 |3000 |
703 |Total Attributes:  7 |Kaworu&Mark06, Under Construction ||Attacker | /  |Machine |Dark |4 Stars |10 |3000 |
704 |Total Attributes:  7 |Kaworu&Mark.06 ||Attacker | /  |Machine |Dark | /  |Dark |5 Stars |15 |3000 |
705 |Total Attributes:  7 |Shinji&Kaworu&Unit-13 ||Attacker | /  |Machine |Water | /  |Dark |5 Stars |25 |5000 |
706 |Total Attributes:  7 |Awoken Shinji&Kaworu&Unit-13 ||Attacker | /  |Machine |Water | /  |Dark |6 Stars |30 |5000 |
707 |Total Attributes:  8 |The Fifth Angel ||God | /  |Attacker |Fire |3 Stars |10 |1 |5th Angel, Shamshel |
708 |Total Attributes:  8 |The Fifth Angel - Assault Mode ||God | /  |Attacker |Fire |4 Stars |15 |1 |5th Angel, Shamshel |
709 |Total Attributes:  8 |The Sixth Angel ||God | /  |Attacker |Light |3 Stars |10 |1 |Ramiel, 6th Angel |
710 |Total Attributes:  8 |The Sixth Angel - Assault Mode ||God | /  |Attacker |Light |4 Stars |15 |1 |Ramiel, 6th Angel |
711 |Total Attributes:  8 |The Tenth Angel ||God | /  |Attacker |Dark |5 Stars |20 |10 |10th Angel, Zeruel |
712 |Total Attributes:  8 |The Tenth Angel - Assault Mode ||God | /  |Attacker |Dark |6 Stars |25 |10 |10th Angel, Zeruel |
713 |Total Attributes:  8 |The Fourth Angel ||God | /  |Attacker |Dark |3 Stars |10 |1 |Sachiel, 4th Angel |
714 |Total Attributes:  8 |The Fourth Angel - Assault Mode ||God | /  |Attacker |Dark |4 Stars |15 |1 |Sachiel, 4th Angel |
715 |Total Attributes:  7 |Blazing King Apollo ||Balanced |Fire | /  |Fire |6 Stars |25 |1 |
716 |Total Attributes:  7 |Awoken Light Dragon King Saiga ||Dragon | /  |Balanced |Wood | /  |Light |7 Stars |55 |1 |
717 |Total Attributes:  7 |Neneko ||Balanced |Water |2 Stars |5 |1 |
718 |Total Attributes:  7 |Hamahime ||Devil |Dark |2 Stars |5 |1 |
719 |Total Attributes:  8 |Green Skydragon Elysium ||Dragon | /  |Attacker |Wood |6 Stars |25 |10 |Shinnosuke Hino |
720 |Total Attributes:  7 |CoC Barbarian ||Physical |Light |3 Stars |5 |1 |
721 |Total Attributes:  7 |CoC Rage Barbarian ||Physical |Light |4 Stars |10 |1 |
722 |Total Attributes:  7 |CoC Archer ||Balanced |Fire |3 Stars |5 |1 |
723 |Total Attributes:  7 |CoC Flame Archer ||Balanced |Fire |4 Stars |10 |1 |
724 |Total Attributes:  7 |CoC Goblin ||Attacker |Wood |3 Stars |5 |1 |
725 |Total Attributes:  7 |CoC Forest Goblin ||Attacker |Wood |4 Stars |10 |1 |
726 |Total Attributes:  7 |CoC Healer ||Healer |Light |3 Stars |5 |1 |
